keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,time
0.78,-2.41946e-12,0.01,9.99993e-09,250.347533700056
0.79,-2.32128e-12,0.01,9.99997e-09,251.376359499991
0.8,-2.36126e-12,0.01,1e-08,252.604576000012
0.79,-2.32351e-12,0.01,9.99999e-09,253.82005780004
0.78,-2.40335e-12,0.01,9.99992e-09,254.860862500034
0.77,-2.40592e-12,0.01,1e-08,255.877596299979
0.76,-2.46135e-12,0.01,1.00001e-08,256.903474500054
0.75,-2.3742e-12,0.01,1e-08,257.920555000077
0.74,-2.35674e-12,0.01,9.99987e-09,258.947818599991
0.73,-2.3466e-12,0.01,9.9998e-09,259.963715000078
0.72,-2.36238e-12,0.01,9.99984e-09,260.985307900002
0.71,-2.345e-12,0.01,9.9999e-09,262.005772300065
0.7,-2.43452e-12,0.01,9.99988e-09,263.038042700035
0.69,-2.53116e-12,0.01,1e-08,264.055651100003
0.68,-2.51169e-12,0.01,9.9999e-09,265.092616199981
0.67,-2.51367e-12,0.01,9.9999e-09,266.124353000079
0.66,-2.69709e-12,0.01,9.99984e-09,267.156285100034
0.65,-2.62163e-12,0.01,9.9999e-09,268.586692300043
0.64,-2.65403e-12,0.01,9.9999e-09,269.621632800088
0.63,-2.6623e-12,0.01,9.9999e-09,270.639404900023
0.62,-2.68118e-12,0.01,9.99982e-09,271.669736500015
0.61,-2.62433e-12,0.01,9.92266e-09,272.687541300082
0.6,-2.4559e-12,0.01,9.75201e-09,273.718382099993
0.59,-2.23194e-12,0.01,9.58036e-09,274.733884699992
0.58,-2.31032e-12,0.01,9.41368e-09,275.767485500081
0.57,-2.12904e-12,0.01,9.24653e-09,276.785940000089
0.56,-2.03171e-12,0.01,9.08273e-09,277.819464000058
0.55,-2.02622e-12,0.01,8.92113e-09,278.834573200089
0.54,-2.06527e-12,0.01,8.75367e-09,279.868656300008
0.53,-1.98249e-12,0.01,8.59494e-09,280.885421100073
0.52,-1.87223e-12,0.01,8.43103e-09,281.928318500053
0.51,-1.72558e-12,0.01,8.27471e-09,282.945031600073
